node,cluster
genres,31
Andalusian classical music,35
Indian classical music,5
Korean court music,37
Persian classical music,37
Western classical music,28
Early music,32
Medieval music,2
Ars antiqua,36
Ars nova,36
Ars subtilior,35
Bardcore,27
Neo-Medieval music,29
Tavernwave,37
Renaissance music,1
Baroque music,21
Galant music,36
Classical period (music),3
Romantic music,24
20th-century classical music,3
20th,38
21st-century classical music,26
21st,38
Modernism (music),31
Impressionism in music,33
Neoclassicism (music),26
High modernism,38
Postmodern music,30
Experimental music,20
Contemporary classical music,34
Minimal music,1
Crossover music,10
Danger music,32
Drone music,26
Electroacoustic music,28
Industrial music,11
Instrumental,29
Lo-fi music,19
Musical improvisation,1
Musique concrète,28
Noise (music),36
Outsider music,27
PC Music,27
Progressive music,23
Psychedelic music,17
Underground music,18
African blues,35
Blues rock,1
Blues shouter,37
British blues,2
Canadian blues,35
Chicago blues,26
Classic female blues,36
Contemporary R&B,62
Delta blues,25
Desert blues,36
Detroit blues,33
Electric blues,3
Gospel blues,36
Hill country blues,32
Hokum,28
Hokum blues,37
Honky Tonk Blues,35
Jump blues,32
Blues#Urban blues,33
Kansas City blues,37
Louisiana blues,32
Memphis blues,29
New Orleans blues,29
Piedmont blues,33
Punk blues,28
Doo-wop,27
Soul blues,34
St. Louis blues (music),36
Swamp blues,27
Talking blues,35
Texas blues,32
West Coast blues,34
Country blues,30
Alternative country,8
Cowpunk,23
Americana (music),5
Australian country music,28
Bakersfield sound,25
Bluegrass music,17
Progressive bluegrass,37
Reactionary bluegrass,38
Classic country,3
Country pop,30
Country rap,29
Country rock,4
Cajun music,4
Cajun fiddle,33
Christian country music,29
Close harmony,37
Dansband,32
Gothic country,28
Honky-tonk,29
Honky-tonk country,38
Instrumental country,37
Nashville sound,23
Neotraditional country,24
New Mexico music,8
Outlaw country,2
Progressive country,29
Red dirt (music),33
Rockabilly,5
Hellbilly music,37
Psychobilly,23
Sertanejo music,28
Tejano music,20
Texas country music,29
Traditional country music,37
Truck-driving country,35
Western music (North America),8
Western (Cowboy),38
Cowboy pop,32
Western swing,3
Zydeco,25
Adult standards,35
Background music,28
Elevator music,32
muzak,29
Barococo,37
Beautiful music,24
Chill-out music,1
Downtempo,32
Furniture music,34
Light music,27
Lounge music,1
Middle of the road (music),25
New-age music,10
Ambient dub,33
Dark ambient,31
Ambient industrial,38
Dungeon synth,24
Illbient,4
Andean new age music,36
Andean new-age,37
Neoclassical new-age music,32
Space music,1
Reductionism (music),34
Lowercase (music),27
Onkyokei,34
Bass music,23
Footwork (genre),19
Future bass,26
Kawaii future bass,35
Jungle terror,37
UK bass,1
Wave music,31
Hardwave,36
Breakbeat,8
Acid breaks,35
Baltimore club,4
Jersey club,1
Philly club,36
Big beat,31
Breakbeat hardcore,23
4-beat,28
Darkcore,28
Hardcore breaks,38
Broken beat,28
Florida breaks,26
Nu skool breaks,32
Progressive breaks,37
Psychedelic breakbeat,37
Psybient,35
Psydub,34
Trip hop,9
Trip rock,37
Chopped and screwed,26
Afro/cosmic music,31
Electro-disco,36
Hi-NRG,4
Eurobeat,1
Eurodance,12
Italo dance,31
Italo disco,20
Spacesynth,37
Space disco,28
Eurodisco,2
Nu-disco,4
Post-disco,1
Boogie (genre),25
City pop,29
Drum and bass,14
Darkstep,33
Drumfunk,36
Drumstep,36
Hardstep,35
Intelligent drum and bass,36
Atmospheric drum and bass,38
Jazzstep,38
Jump-up (drum and bass),35
Jump-up,36
Liquid funk,32
Neurofunk,28
Sambass,34
Techstep,23
Dub music,17
Dub poetry,35
Dubtronica,32
Acousmatic music,35
Electroacoustic improvisation,33
Live electronic music,34
Live electronics,37
Soundscape#In music,36
Soundscape,34
Dance-pop,9
Music festival,34
Electronic rock,10
Dance-rock,23
Alternative dance,7
Madchester,23
Baggy,27
New rave,31
Dance-punk,2
Krautrock,19
Cold wave (music),26
Dark wave,24
Neoclassical dark wave,30
Neue Deutsche Todeskunst,31
Ethereal wave,29
Nu-gaze,37
Minimal wave,27
Neue Deutsche Welle,3
New Romantic#Styles of music,38
New romantic,36
New wave of new wave,28
Sophisti-pop,29
Synth-pop,21
Disco polo,25
Electroclash,23
Electropop,20
Hyperpop,7
Post-rock,8
Space rock,25
Synth-metal,35
Electronicore,8
Synth-punk,35
Electronica,23
Folktronica,29
Indietronica,32
Jazztronica,37
Laptronica,37
Livetronica,38
Progressive electronic,37
Kosmische musik,35
Ethnic electronica,5
Asian underground,36
Afrobeats,22
Azonto,32
Coupé-décalé,32
Kuduro,29
Mahraganat,32
Shangaan electro,34
Budots,33
Changa tuki,33
Dancehall pop,29
Funk carioca,4
Funk ostentação,33
Melodic funk,38
Proibidão,35
Rasteirinha,33
Merenhouse,27
Nortec,34
Rabòday,35
Rara tech,35
Russ music,35
Shamstep,35
Tribal guarachero,36
Worldbeat,24
Manila sound,4
Funk,14
Acid jazz,26
Funktronica,37
Synth-funk,37
Jungle music,19
Ragga jungle,37
Hardcore (electronic dance music genre),15
Hardcore,8
Bouncy techno,25
Breakcore,26
Digital hardcore,3
Frenchcore,29
Gabber,30
Early hardcore,32
Mainstream hardcore,29
Happy hardcore,24
UK hardcore,29
Industrial hardcore,38
J-core,34
Lento violento,33
Mákina,27
Speedcore,32
Extratone,37
Flashcore,36
Splittercore,37
Hardstyle,30
Dubstyle,36
Jumpstyle,32
Hauntology (music),34
Chillwave,2
Hypnagogic pop,29
Synthwave,1
Darksynth,37
Sovietwave,29
Vaporwave,15
Dreampunk,34
Future funk,34
Hardvapour,28
Mallsoft,32
Seapunk,29
Afroswing,26
Alternative hip hop,21
Hipster hop,27
Cloud rap,4
Crunk,4
Crunkcore,31
Snap music,29
Electro (music),15
Latin freestyle,29
Emo rap,26
Instrumental hip hop,32
Lofi hip hop,27
Miami bass,22
Mumble rap,1
Trap music,14
Afro trap,37
Drill music,8
UK drill,25
Latin trap,31
Phonk,26
Trap music (EDM),29
Trap (EDM),33
UK trap,37
Acid house,5
Amapiano,27
Gqom,28
Kidandali,32
Kwaito,23
Ambient house,32
Balearic beat,10
Ball culture#Music,33
Ballroom,36
Bass house (genre),37
Blog house,36
Brazilian bass,35
Slap house,37
Chicago hard house,35
Chicago house,15
Deep house,26
Disco house,38
Diva house,29
Hardbag,33
Electro house,5
Big room house,31
Complextro,33
Dutch house,32
Fidget house,35
Melbourne bounce,37
Electro swing,29
French house,23
Funky house,31
Future house,29
Garage house,25
Ghetto house,29
Ghettotech,30
Juke house,33
Hip house,31
Italo house,23
Jazz house,37
Latin house,27
Melodic house,37
Microhouse,30
Moombahcore,35
Moombahton,10
Moombahsoul,38
New Jersey sound,27
Outsider house,28
Progressive house,2
Soulful house,36
Tech house,32
Tribal house,32
Tropical house,24
UK hard house,3
Hard NRG,28
Pumping house,36
Hardbass,29
Scouse house,33
Post-industrial music,35
post-industrial,34
Deconstructed club,31
Electro-industrial,30
Dark electro,35
Aggrotech,36
Electronic body music,19
Electronic body music (EBM),37
Futurepop,32
New beat,29
Industrial hip hop,30
Industrial metal,2
Cyber metal,37
Neue Deutsche Härte,24
Industrial rock,31
Martial industrial,26
Mid-tempo,38
Witch house (genre),24
Intelligent dance music,20
Intelligent dance music (IDM),37
Drill 'n' bass,32
Glitch (music),23
Neo soul,31
Nightcore,30
Noise music,19
Harsh noise,36
Harsh noise wall,35
Japanoise,3
Noise pop,29
Power electronics (music),27
Death industrial,35
Power noise,28
Plunderphonics,32
Sampledelia,34
Techno,11
Acid techno,32
Ambient techno,27
Birmingham sound,36
Bleep techno,32
Detroit techno,9
Dub techno,33
Hardtechno,37
Free tekno,32
Industrial techno,28
Minimal techno,28
Schaffel,36
Toytown techno,35
Tecno brega,34
Acid trance,27
Balearic trance,32
Dream trance,28
Eurotrance,35
Goa trance,2
Nitzhonot,27
Hard trance,30
Progressive trance,33
Psychedelic trance,5
Suomisaundi,34
Tech trance,32
Uplifting trance,31
Vocal trance,28
UK garage,11
2-step garage,8
Bassline (music genre),23
Bassline,8
Breakstep,34
Dubstep,19
Brostep,28
Neurostep,38
Post-dubstep,31
Reggaestep,35
Riddim (EDM),33
Riddim,27
Colour bass,38
Future garage,30
Grime music,6
Grindie,32
Speed garage,27
UK funky,23
Funkstep,33
Wonky (music),37
Video game music,31
Chiptune,24
Bitpop,30
Nintendocore,8
Skweee,32
American folk revival,38
Anti-folk,27
British folk revival,25
Celtic music,22
Chalga,8
Corrido,29
Creole music,33
Filk music,36
Folk noir,38
Folk rock,6
Celtic rock,26
Freak folk,33
Indie folk,32
Industrial folk music,36
Mariachi,23
Ranchera,29
Neofolk,29
New Weird America,28
Progressive folk music,37
Protest song,24
Psychedelic folk,29
Singer-songwriter,33
Nueva canción,34
Skiffle,31
Sung poetry,37
Tarantella,35
Pizzica,38
Traditional blues verses,38
Beatboxing,36
Boom bap,32
Bounce music,26
British hip hop,30
Road rap,35
Chopper (rap),25
Chopper,35
Classic hip hop,34
Comedy hip hop,31
East Coast hip hop,10
Freestyle rap,35
G-funk,3
Hardcore hip hop,25
Dirty rap,29
Gangsta rap,9
Horrorcore,28
Memphis rap,29
Hip hop soul,34
Hyphy,27
Jerkin',33
Jazz rap,29
Latin hip hop,25
Chicano rap,31
Nerdcore,28
Chap hop,34
New jack swing,29
Political hip hop,30
Conscious hip hop,28
Pop rap,28
Progressive rap,27
Punk rap,33
Rap opera,33
Rap rock,31
Rap metal,24
Rapcore,33
Christian hip hop,25
Jewish hip hop,35
Southern hip hop,7
Brooklyn drill,27
Tread rap,35
Tread,37
Turntablism,10
Underground hip hop,23
West Coast hip hop,2
Afro-Cuban jazz,27
Alt-jazz,38
Avant-garde jazz,26
Bebop,3
Big band,29
Boogie-woogie,27
Bossa nova,31
Brazilian Jazz,38
British dance band,34
Cape jazz,35
Chamber jazz,28
Continental jazz,36
Cool jazz,30
Crossover jazz,35
Dixieland,4
Ethno jazz,31
European free jazz,35
Free funk,33
Free improvisation,25
Free jazz,26
Gypsy jazz,32
Hard bop,29
Jazz blues,37
Jazz-funk,27
Jazz fusion,7
Jazz noir,38
Jazz rock,33
Kansas City jazz,27
Latin jazz,4
M-Base,35
M-base,38
Mainstream jazz,37
Modal jazz,33
Neo-bop jazz,35
Neo-swing,37
Nu jazz,30
Orchestral jazz,36
Post-bop,27
Progressive jazz,37
Punk jazz,32
Samba-jazz,35
Shibuya-kei,31
Ska jazz,35
Smooth jazz,24
Soul jazz,29
Straight-ahead jazz,32
Stride jazz,36
Swing music,15
Trad jazz,32
Third stream,34
Vocal jazz,33
West Coast jazz,27
Adult contemporary,27
Adult hits,34
Ambient pop,36
Arabic pop music,31
Art pop,23
Avant-pop,28
Baroque pop,32
Beach music,28
Bedroom pop,36
Brill Building (genre),27
Brill building,38
Britpop,14
Bubblegum pop,34
C-pop,3
Cantopop,4
Hokkien pop,30
Mandopop,1
Canción,36
Canzone,35
Chamber pop,34
Chanson,27
Christian pop,33
Classic hits,28
Classical crossover,38
Contemporary hit radio,25
Cringe pop,36
Dark pop,38
Europop,22
Austropop,36
French pop music,32
Laïkó,35
Nederpop,32
Neomelodic music,38
Nordic popular music,32
Russian pop,33
Fado,34
Folk pop,36
Indie pop,23
Twee pop,34
Indian pop,29
Iranian pop,38
J-pop,12
Anime song,33
Jangle pop,28
Jazz pop,37
K-pop,17
Korean hip hop,32
Korean rock,36
T'ong guitar,37
Trot (music),32
Latin ballad,32
Latin pop,7
Mexican pop music,8
New Pop,29
New Romantic,24
Oldies,27
Rhythmic oldies,33
Operatic pop,33
Original Pilipino Music,33
OPM,33
Pinoy pop,27
Pop rock,8
Pop punk,34
Emo pop,34
Neon pop,37
Power pop,25
Soft rock,4
Surf pop,38
Yacht rock,3
Pop soul,38
Progressive pop,30
Psychedelic pop,33
Rebetiko,27
Rhythmic adult contemporary,32
Rhythmic contemporary,29
Schlager music,26
Space age pop,31
Sunshine pop,28
Swamp pop,29
Teen pop,30
Traditional pop music,35
Turbo-folk,4
Turkish pop music,35
Urban adult contemporary,32
Urban contemporary music,2
Vispop,32
Wonky pop,31
Yé-yé,34
Alternative R&B,34
Freestyle music,10
Go-go,36
Deep funk,32
Minneapolis Sound,38
Psychedelic funk,23
Gospel music,19
Southern gospel,32
Urban contemporary gospel,31
Blue-eyed soul,27
Brown-eyed soul,31
Cinematic soul,35
Classic soul,36
Northern soul,25
Progressive soul,31
Psychedelic soul,27
Quiet storm,34
Southern soul,25
Active rock,33
Adult album alternative,31
Adult-oriented rock,35
Afro rock,36
Album oriented rock,38
Post-Britpop,32
Dream pop,31
Shoegaze,31
Blackgaze,27
Grunge,8
Post-grunge,28
Soft grunge,35
Indie rock,17
Dunedin sound,28
Kindie rock,33
Math rock,24
Midwest emo,28
Post-punk revival,30
Slacker rock,36
Sadcore,35
Slowcore,29
American rock,2
Anatolian rock,29
Arabic rock,38
Arena rock,25
Beat music,7
British Invasion,57
Freakbeat,31
Mod (subculture),3
Nederbeat,34
Boogie rock,34
Brazilian rock,5
Samba rock,29
British rhythm and blues,8
British rock music,19
Chinese rock,32
Christian rock,26
Classic alternative,25
Classic rock,34
Comedy rock,34
Dark cabaret,33
Death 'n' roll,35
Deathrock,36
Palm Desert Scene,29
Desert rock,36
Emo,25
Experimental rock,25
Art rock,31
Post-punk,5
Gothic rock,5
No wave,23
Noise rock,25
Post-metal,30
British folk rock,9
Medieval folk rock,29
Funk rock,26
Garage rock,17
Proto-punk,27
Geek rock,34
Glam rock,3
Pagan rock,26
Hard rock,19
Heartland rock,30
Indian rock,8
Iranian rock,32
Instrumental rock,26
Japanese rock,24
Latin rock,5
Chicano rock,10
Rock en español,23
Rock music in Mexico,33
Mainstream rock,33
Mangue bit,34
Modern rock,27
Occult rock,33
Paisley Underground,25
Progressive rock,12
Avant-prog,32
Rock in Opposition,34
Canterbury scene,27
Flamenco rock,35
Neo-progressive rock,36
New prog,37
Post-Progressive,37
Post-progressive,28
Progressive rock (radio format),37
Proto-prog,33
Symphonic Rock,37
Zeuhl,35
Psychedelic rock,15
Acid rock,25
Freak scene,36
Neo-psychedelia,23
Raga rock,31
Pub rock (Australia),34
Pub rock (United Kingdom),1
Reggae rock,28
Rock and roll,57
Gothabilly,27
Rock music in France,33
Rock opera,32
Roots rock,3
Southern rock,14
Stoner rock,25
Swamp rock,30
Sufi rock,33
Surf rock,35
Tropical rock,34
Viking rock,34
Visual kei,29
Nagoya kei,36
Wizard rock,33
World fusion,38
Alternative metal,23
Funk metal,31
Nu metal,8
Avant-garde metal,29
Drone metal,31
Black metal,1
Depressive suicidal black metal,37
Blackened death metal,34
Atmospheric black metal,38
Melodic black metal,38
National Socialist black metal,31
Symphonic black metal,33
Christian metal,23
Unblack metal,34
Death metal,4
Deathgrind,32
Melodic death metal,29
Technical death metal,32
Doom metal,26
Death-doom,28
Stoner-doom,37
Extreme metal,62
Folk metal,4
Celtic metal,23
Medieval metal,29
Pagan metal,27
Glam metal,31
Gothic metal,29
Electronic metal,29
Kawaii metal,32
Latin metal,29
Mathcore,4
Math metal,35
Metalcore,4
Deathcore,27
Melodic metalcore,27
Progressive metalcore,27
Neoclassical metal,30
New wave of American heavy metal,34
New wave of British heavy metal,25
Pirate metal,29
Pop metal,34
Power metal,29
Progressive metal,3
Djent,32
Sludge metal,26
Speed metal,29
Symphonic metal,25
Thrash metal,24
Crossover thrash,25
Groove metal,29
Afro-punk,34
Anarcho punk,38
Crust punk,29
D-beat,27
Art punk,31
Avant punk,38
Christian punk,31
Deathpunk,33
Electropunk,29
Cyberpunk,34
Synth punk,38
Folk punk,30
Celtic punk,30
Gypsy punk,27
Scottish Gaelic punk,28
Garage punk (fusion genre),30
Garage punk,36
German punk,32
Glam punk,28
Gothic punk,37
Grindcore,8
Crustgrind,38
Electrogrind,34
Goregrind,28
Noisegrind,36
Pornogrind,28
Beatdown hardcore,28
Christian hardcore,30
Crabcore,35
Krishnacore,36
Melodic hardcore,27
Positive hardcore,35
Post-hardcore,2
Queercore,30
Taqwacore,27
Screamo,26
Powerviolence,32
Street punk,34
Horror punk,28
Latino punk,33
Nazi punk,33
Oi!,4
Easycore,35
Punkabilly,37
Punk pathetique,28
Reggae punk,33
Riot grrrl,28
Ska punk,29
Skate punk,28
Surf punk (music genre),36
Surf punk,37
Trallpunk,35
African heavy metal,35
African hip hop,29
African popular music,57
Afro pop,37
Afrobeat,1
Apala,32
Arabesque (Turkish music),27
Benga music,33
Bikutsi,35
Bongo flava,37
Boomba music,35
Bubu music,38
Chaabi,35
Chaoui music,38
Chimurenga music,33
Congolese rumba,26
Coupé-Décalé,34
Fuji music,27
Genge,33
Gnawa,35
Gumbe,35
Highlife,29
Hiplife,29
Igbo highlife,34
Igbo rap,35
Isicathamiya,33
Jit,35
Jùjú music,32
Kadongo Kamu,37
Kizomba,27
Kwela,35
Lingala,35
Makossa,27
Maloya,34
Ma'luf,36
Marabi,33
Marrabenta,32
Mbalax,27
Mbaqanga,33
Mbube (genre),33
Morna (music),33
Music of Egypt,34
Ndombolo,28
Palm-wine music,35
Raï,24
Rumba,27
Sakara music,34
Sega music,36
Seggae,37
Semba,34
Soukous,2
Kwassa kwassa,35
Taarab,35
Zamrock,36
Zouglou,35
Nunatak (band),37
Shashmaqam,37
Pashto music,38
Music of Kazakhstan#Traditional music,38
Kazakh folk music,38
Music of Kyrgyzstan#Traditional music,38
Kyrgyz folk music,38
Music of Mongolia#Traditional music,38
Mongolian folk music,38
Tuvan throat singing,29
Music of Tajikistan#Tajik folk music,37
Tajik folk music,37
Chinese hip hop,33
Music of China#Folk music,37
Chinese folk music,36
Hong Kong English pop,32
Hong Kong hip hop,36
Taiwanese hip hop,34
Taiwanese pop,33
Taiwanese rock,37
Enka,32
Japanese hip hop,33
Japanese jazz,34
Kayōkyoku,34
Korean folk music,36
Asian Underground,27
Baul,36
Bhangra (music),29
